sls_ord_num,sls_prd_key,sls_cust_id,sls_order_dt,sls_ship_dt,sls_due_dt,sls_sales,sls_quantity,sls_price,dwh_create_date
SO54502,HL-U509-B,16301,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54503,TT-R982,11581,2013-03-16,2013-03-23,2013-03-28,4,1,4,2024-12-30 14:06:36.9733333
SO54503,PK-7098,11581,2013-03-16,2013-03-23,2013-03-28,2,1,2,2024-12-30 14:06:36.9733333
SO54504,TT-R982,20148,2013-03-16,2013-03-23,2013-03-28,4,1,4,2024-12-30 14:06:36.9733333
SO54504,PK-7098,20148,2013-03-16,2013-03-23,2013-03-28,2,1,2,2024-12-30 14:06:36.9733333
SO54505,TI-M602,14821,2013-03-16,2013-03-23,2013-03-28,30,1,30,2024-12-30 14:06:36.9733333
SO54506,TT-R982,25526,2013-03-16,2013-03-23,2013-03-28,4,1,4,2024-12-30 14:06:36.9733333
SO54506,TI-R092,25526,2013-03-16,2013-03-23,2013-03-28,21,1,21,2024-12-30 14:06:36.9733333
SO54506,HL-U509-R,25526,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54507,TI-R092,27814,2013-03-16,2013-03-23,2013-03-28,21,1,21,2024-12-30 14:06:36.9733333
SO54507,PK-7098,27814,2013-03-16,2013-03-23,2013-03-28,2,1,2,2024-12-30 14:06:36.9733333
SO54507,ST-1401,27814,2013-03-16,2013-03-23,2013-03-28,159,1,159,2024-12-30 14:06:36.9733333
SO54508,TI-M823,11012,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54508,TT-M928,11012,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54508,HL-U509,11012,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54509,TI-M823,11731,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54509,TT-M928,11731,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54509,FE-6654,11731,2013-03-16,2013-03-23,2013-03-28,22,1,22,2024-12-30 14:06:36.9733333
SO54509,GL-H102-M,11731,2013-03-16,2013-03-23,2013-03-28,24,1,24,2024-12-30 14:06:36.9733333
SO54510,TI-M823,14353,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54510,TT-M928,14353,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54510,HL-U509-R,14353,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54511,BC-R205,11347,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54511,WB-H098,11347,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54512,BK-R79Y-42,16896,2013-03-16,2013-03-23,2013-03-28,1701,1,1701,2024-12-30 14:06:36.9733333
SO54512,WB-H098,16896,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54512,BC-R205,16896,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54513,BK-R79Y-42,14083,2013-03-16,2013-03-23,2013-03-28,1701,1,1701,2024-12-30 14:06:36.9733333
SO54513,LJ-0192-X,14083,2013-03-16,2013-03-23,2013-03-28,50,1,50,2024-12-30 14:06:36.9733333
SO54514,BK-M38S-40,14103,2013-03-16,2013-03-23,2013-03-28,769,1,769,2024-12-30 14:06:36.9733333
SO54514,BC-M005,14103,2013-03-16,2013-03-23,2013-03-28,10,1,10,2024-12-30 14:06:36.9733333
SO54514,WB-H098,14103,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54515,BK-R19B-44,20424,2013-03-16,2013-03-23,2013-03-28,540,1,540,2024-12-30 14:06:36.9733333
SO54515,WB-H098,20424,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54515,BC-R205,20424,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54516,BK-R19B-48,20816,2013-03-16,2013-03-23,2013-03-28,540,1,540,2024-12-30 14:06:36.9733333
SO54516,TI-R092,20816,2013-03-16,2013-03-23,2013-03-28,21,1,21,2024-12-30 14:06:36.9733333
SO54516,TT-R982,20816,2013-03-16,2013-03-23,2013-03-28,4,1,4,2024-12-30 14:06:36.9733333
SO54516,HL-U509-B,20816,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54516,LJ-0192-S,20816,2013-03-16,2013-03-23,2013-03-28,50,1,50,2024-12-30 14:06:36.9733333
SO54517,CA-1098,28828,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54517,BK-T18Y-50,28828,2013-03-16,2013-03-23,2013-03-28,742,1,742,2024-12-30 14:06:36.9733333
SO54518,BK-T18U-44,26329,2013-03-16,2013-03-23,2013-03-28,742,1,742,2024-12-30 14:06:36.9733333
SO54518,BC-R205,26329,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54518,WB-H098,26329,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54518,HY-1023-70,26329,2013-03-16,2013-03-23,2013-03-28,55,1,55,2024-12-30 14:06:36.9733333
SO54519,BK-M68B-42,11097,2013-03-16,2013-03-23,2013-03-28,2295,1,2295,2024-12-30 14:06:36.9733333
SO54519,BC-M005,11097,2013-03-16,2013-03-23,2013-03-28,10,1,10,2024-12-30 14:06:36.9733333
SO54520,BK-T44U-50,25366,2013-03-16,2013-03-23,2013-03-28,1215,1,1215,2024-12-30 14:06:36.9733333
SO54520,TI-T723,25366,2013-03-16,2013-03-23,2013-03-28,29,1,29,2024-12-30 14:06:36.9733333
SO54521,BK-R19B-44,21654,2013-03-16,2013-03-23,2013-03-28,540,1,540,2024-12-30 14:06:36.9733333
SO54521,BC-R205,21654,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54521,WB-H098,21654,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54521,LJ-0192-S,21654,2013-03-16,2013-03-23,2013-03-28,50,1,50,2024-12-30 14:06:36.9733333
SO54522,BK-R19B-52,29400,2013-03-16,2013-03-23,2013-03-28,540,1,540,2024-12-30 14:06:36.9733333
SO54522,WB-H098,29400,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54522,BC-R205,29400,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54522,VE-C304-S,29400,2013-03-16,2013-03-23,2013-03-28,64,1,64,2024-12-30 14:06:36.9733333
SO54523,BK-R64Y-48,27143,2013-03-16,2013-03-23,2013-03-28,1120,1,1120,2024-12-30 14:06:36.9733333
SO54523,BC-R205,27143,2013-03-16,2013-03-23,2013-03-28,9,1,9,2024-12-30 14:06:36.9733333
SO54523,WB-H098,27143,2013-03-16,2013-03-23,2013-03-28,5,1,5,2024-12-30 14:06:36.9733333
SO54523,HL-U509-R,27143,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54524,BK-T79Y-60,12630,2013-03-16,2013-03-23,2013-03-28,2384,1,2384,2024-12-30 14:06:36.9733333
SO54524,HL-U509-R,12630,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54525,BK-T79U-46,24105,2013-03-16,2013-03-23,2013-03-28,2384,1,2384,2024-12-30 14:06:36.9733333
SO54525,HL-U509-B,24105,2013-03-16,2013-03-23,2013-03-28,35,1,35,2024-12-30 14:06:36.9733333
SO54526,BK-M38S-38,11050,2013-03-16,2013-03-23,2013-03-28,769,1,769,2024-12-30 14:06:36.9733333
SO54526,FE-6654,11050,2013-03-16,2013-03-23,2013-03-28,22,1,22,2024-12-30 14:06:36.9733333
SO54526,VE-C304-L,11050,2013-03-16,2013-03-23,2013-03-28,64,1,64,2024-12-30 14:06:36.9733333
SO54527,BK-R64Y-48,23414,2013-03-17,2013-03-24,2013-03-29,1120,1,1120,2024-12-30 14:06:36.9733333
SO54527,HL-U509-R,23414,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54527,SJ-0194-M,23414,2013-03-17,2013-03-24,2013-03-29,54,1,54,2024-12-30 14:06:36.9733333
SO54528,BK-M68S-38,12133,2013-03-17,2013-03-24,2013-03-29,2320,1,2320,2024-12-30 14:06:36.9733333
SO54528,FE-6654,12133,2013-03-17,2013-03-24,2013-03-29,22,1,22,2024-12-30 14:06:36.9733333
SO54528,BC-M005,12133,2013-03-17,2013-03-24,2013-03-29,10,1,10,2024-12-30 14:06:36.9733333
SO54528,WB-H098,12133,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54528,HL-U509-R,12133,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54528,LJ-0192-S,12133,2013-03-17,2013-03-24,2013-03-29,50,1,50,2024-12-30 14:06:36.9733333
SO54529,TI-M267,14099,2013-03-17,2013-03-24,2013-03-29,25,1,25,2024-12-30 14:06:36.9733333
SO54529,PK-7098,14099,2013-03-17,2013-03-24,2013-03-29,2,1,2,2024-12-30 14:06:36.9733333
SO54530,CA-1098,13181,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54530,RA-H123,13181,2013-03-17,2013-03-24,2013-03-29,120,1,120,2024-12-30 14:06:36.9733333
SO54531,SH-W890-L,26773,2013-03-17,2013-03-24,2013-03-29,70,1,70,2024-12-30 14:06:36.9733333
SO54532,TT-R982,13641,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54532,HL-U509-R,13641,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54532,SJ-0194-S,13641,2013-03-17,2013-03-24,2013-03-29,54,1,54,2024-12-30 14:06:36.9733333
SO54532,GL-H102-L,13641,2013-03-17,2013-03-24,2013-03-29,24,1,24,2024-12-30 14:06:36.9733333
SO54533,LJ-0192-M,14059,2013-03-17,2013-03-24,2013-03-29,50,1,50,2024-12-30 14:06:36.9733333
SO54533,GL-H102-L,14059,2013-03-17,2013-03-24,2013-03-29,24,1,24,2024-12-30 14:06:36.9733333
SO54534,TT-R982,13627,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54534,SJ-0194-X,13627,2013-03-17,2013-03-24,2013-03-29,54,1,54,2024-12-30 14:06:36.9733333
SO54534,CA-1098,13627,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54535,BK-R89B-44,23776,2013-03-17,2013-03-24,2013-03-29,2443,1,2443,2024-12-30 14:06:36.9733333
SO54535,HL-U509-R,23776,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54536,BK-M38S-40,28904,2013-03-17,2013-03-24,2013-03-29,769,1,769,2024-12-30 14:06:36.9733333
SO54536,TI-M602,28904,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54537,TT-R982,11180,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54537,HL-U509,11180,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54538,TT-T092,27631,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54538,TI-T723,27631,2013-03-17,2013-03-24,2013-03-29,29,1,29,2024-12-30 14:06:36.9733333
SO54539,TI-R092,27740,2013-03-17,2013-03-24,2013-03-29,21,1,21,2024-12-30 14:06:36.9733333
SO54539,TT-R982,27740,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54540,TI-R092,27025,2013-03-17,2013-03-24,2013-03-29,21,1,21,2024-12-30 14:06:36.9733333
SO54540,PK-7098,27025,2013-03-17,2013-03-24,2013-03-29,2,1,2,2024-12-30 14:06:36.9733333
SO54541,TI-T723,26175,2013-03-17,2013-03-24,2013-03-29,29,1,29,2024-12-30 14:06:36.9733333
SO54541,TT-T092,26175,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54541,HY-1023-70,26175,2013-03-17,2013-03-24,2013-03-29,55,1,55,2024-12-30 14:06:36.9733333
SO54542,TT-R982,28682,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54542,TI-R628,28682,2013-03-17,2013-03-24,2013-03-29,25,1,25,2024-12-30 14:06:36.9733333
SO54542,HL-U509,28682,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54543,TI-R982,25152,2013-03-17,2013-03-24,2013-03-29,33,1,33,2024-12-30 14:06:36.9733333
SO54543,PK-7098,25152,2013-03-17,2013-03-24,2013-03-29,2,1,2,2024-12-30 14:06:36.9733333
SO54544,TI-R982,24450,2013-03-17,2013-03-24,2013-03-29,33,1,33,2024-12-30 14:06:36.9733333
SO54544,HL-U509,24450,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54545,GL-H102-S,24314,2013-03-17,2013-03-24,2013-03-29,24,1,24,2024-12-30 14:06:36.9733333
SO54545,TI-R982,24314,2013-03-17,2013-03-24,2013-03-29,33,1,33,2024-12-30 14:06:36.9733333
SO54546,TI-M602,23132,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54546,PK-7098,23132,2013-03-17,2013-03-24,2013-03-29,2,1,2,2024-12-30 14:06:36.9733333
SO54546,CL-9009,23132,2013-03-17,2013-03-24,2013-03-29,8,1,8,2024-12-30 14:06:36.9733333
SO54546,RA-H123,23132,2013-03-17,2013-03-24,2013-03-29,120,1,120,2024-12-30 14:06:36.9733333
SO54547,TT-M928,23894,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54547,TI-M602,23894,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54547,HL-U509,23894,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54548,TT-M928,11740,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54548,TI-M602,11740,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54548,PK-7098,11740,2013-03-17,2013-03-24,2013-03-29,2,1,2,2024-12-30 14:06:36.9733333
SO54549,TI-M602,18554,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54549,TT-M928,18554,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54549,HL-U509-R,18554,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54550,TI-M602,11185,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54550,TT-M928,11185,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54550,HL-U509-R,11185,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54551,BC-M005,23251,2013-03-17,2013-03-24,2013-03-29,10,1,10,2024-12-30 14:06:36.9733333
SO54551,HL-U509,23251,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54552,BC-M005,13185,2013-03-17,2013-03-24,2013-03-29,10,1,10,2024-12-30 14:06:36.9733333
SO54552,WB-H098,13185,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54552,HY-1023-70,13185,2013-03-17,2013-03-24,2013-03-29,55,1,55,2024-12-30 14:06:36.9733333
SO54553,BC-M005,21698,2013-03-17,2013-03-24,2013-03-29,10,1,10,2024-12-30 14:06:36.9733333
SO54553,WB-H098,21698,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54554,SH-W890-L,19852,2013-03-17,2013-03-24,2013-03-29,70,1,70,2024-12-30 14:06:36.9733333
SO54555,SH-W890-L,18523,2013-03-17,2013-03-24,2013-03-29,70,1,70,2024-12-30 14:06:36.9733333
SO54555,LJ-0192-S,18523,2013-03-17,2013-03-24,2013-03-29,50,1,50,2024-12-30 14:06:36.9733333
SO54555,CA-1098,18523,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54556,WB-H098,18552,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54557,WB-H098,18374,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54557,CL-9009,18374,2013-03-17,2013-03-24,2013-03-29,8,1,8,2024-12-30 14:06:36.9733333
SO54558,WB-H098,17431,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54559,WB-H098,17488,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54560,TT-M928,16044,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54560,VE-C304-S,16044,2013-03-17,2013-03-24,2013-03-29,64,1,64,2024-12-30 14:06:36.9733333
SO54561,TT-R982,16295,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54561,TI-R628,16295,2013-03-17,2013-03-24,2013-03-29,25,1,25,2024-12-30 14:06:36.9733333
SO54561,HL-U509,16295,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54561,LJ-0192-S,16295,2013-03-17,2013-03-24,2013-03-29,50,1,50,2024-12-30 14:06:36.9733333
SO54561,GL-H102-M,16295,2013-03-17,2013-03-24,2013-03-29,24,1,24,2024-12-30 14:06:36.9733333
SO54562,TT-M928,13764,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54562,TI-M823,13764,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54562,HL-U509-R,13764,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54563,TI-R628,14811,2013-03-17,2013-03-24,2013-03-29,25,1,25,2024-12-30 14:06:36.9733333
SO54563,TT-R982,14811,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54563,CL-9009,14811,2013-03-17,2013-03-24,2013-03-29,8,1,8,2024-12-30 14:06:36.9733333
SO54564,TI-R092,27001,2013-03-17,2013-03-24,2013-03-29,21,1,21,2024-12-30 14:06:36.9733333
SO54564,CA-1098,27001,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54565,TI-T723,14535,2013-03-17,2013-03-24,2013-03-29,29,1,29,2024-12-30 14:06:36.9733333
SO54566,TT-T092,27836,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54567,TT-T092,27926,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54568,TT-T092,28423,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54568,TI-T723,28423,2013-03-17,2013-03-24,2013-03-29,29,1,29,2024-12-30 14:06:36.9733333
SO54569,TT-T092,26841,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54569,TI-T723,26841,2013-03-17,2013-03-24,2013-03-29,29,1,29,2024-12-30 14:06:36.9733333
SO54569,CA-1098,26841,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54569,HL-U509,26841,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54570,TI-T723,12568,2013-03-17,2013-03-24,2013-03-29,29,1,29,2024-12-30 14:06:36.9733333
SO54570,TT-T092,12568,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54570,GL-H102-M,12568,2013-03-17,2013-03-24,2013-03-29,24,1,24,2024-12-30 14:06:36.9733333
SO54571,BK-M18B-44,15860,2013-03-17,2013-03-24,2013-03-29,540,1,540,2024-12-30 14:06:36.9733333
SO54572,BK-M38S-40,13938,2013-03-17,2013-03-24,2013-03-29,769,1,769,2024-12-30 14:06:36.9733333
SO54572,TI-M602,13938,2013-03-17,2013-03-24,2013-03-29,30,1,30,2024-12-30 14:06:36.9733333
SO54572,TT-M928,13938,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54572,HL-U509-R,13938,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54572,LJ-0192-S,13938,2013-03-17,2013-03-24,2013-03-29,50,1,50,2024-12-30 14:06:36.9733333
SO54573,BK-M68B-38,12189,2013-03-17,2013-03-24,2013-03-29,2295,1,2295,2024-12-30 14:06:36.9733333
SO54573,FE-6654,12189,2013-03-17,2013-03-24,2013-03-29,22,1,22,2024-12-30 14:06:36.9733333
SO54573,HY-1023-70,12189,2013-03-17,2013-03-24,2013-03-29,55,1,55,2024-12-30 14:06:36.9733333
SO54574,BK-M68S-46,12710,2013-03-17,2013-03-24,2013-03-29,2320,1,2320,2024-12-30 14:06:36.9733333
SO54574,HL-U509-B,12710,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54575,BK-R79Y-44,18739,2013-03-17,2013-03-24,2013-03-29,1701,1,1701,2024-12-30 14:06:36.9733333
SO54575,TT-R982,18739,2013-03-17,2013-03-24,2013-03-29,4,1,4,2024-12-30 14:06:36.9733333
SO54575,TI-R628,18739,2013-03-17,2013-03-24,2013-03-29,25,1,25,2024-12-30 14:06:36.9733333
SO54575,VE-C304-M,18739,2013-03-17,2013-03-24,2013-03-29,64,1,64,2024-12-30 14:06:36.9733333
SO54576,BK-R19B-48,26774,2013-03-17,2013-03-24,2013-03-29,540,1,540,2024-12-30 14:06:36.9733333
SO54576,SO-R809-M,26774,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54577,BK-R89B-58,18737,2013-03-17,2013-03-24,2013-03-29,2443,1,2443,2024-12-30 14:06:36.9733333
SO54578,BK-R89R-58,18747,2013-03-17,2013-03-24,2013-03-29,2443,1,2443,2024-12-30 14:06:36.9733333
SO54578,BC-R205,18747,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54578,WB-H098,18747,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54578,SJ-0194-S,18747,2013-03-17,2013-03-24,2013-03-29,54,1,54,2024-12-30 14:06:36.9733333
SO54579,BK-R89B-48,18710,2013-03-17,2013-03-24,2013-03-29,2443,1,2443,2024-12-30 14:06:36.9733333
SO54579,BC-R205,18710,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54579,WB-H098,18710,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54579,SJ-0194-X,18710,2013-03-17,2013-03-24,2013-03-29,54,1,54,2024-12-30 14:06:36.9733333
SO54579,CA-1098,18710,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54580,BK-T18Y-44,28841,2013-03-17,2013-03-24,2013-03-29,742,1,742,2024-12-30 14:06:36.9733333
SO54580,BC-R205,28841,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54580,WB-H098,28841,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54581,BK-T18Y-50,16754,2013-03-17,2013-03-24,2013-03-29,742,1,742,2024-12-30 14:06:36.9733333
SO54581,BC-R205,16754,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
SO54581,WB-H098,16754,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54582,BK-M68S-46,11906,2013-03-17,2013-03-24,2013-03-29,2320,1,2320,2024-12-30 14:06:36.9733333
SO54582,FE-6654,11906,2013-03-17,2013-03-24,2013-03-29,22,1,22,2024-12-30 14:06:36.9733333
SO54582,BC-M005,11906,2013-03-17,2013-03-24,2013-03-29,10,1,10,2024-12-30 14:06:36.9733333
SO54582,WB-H098,11906,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54582,HL-U509-B,11906,2013-03-17,2013-03-24,2013-03-29,35,1,35,2024-12-30 14:06:36.9733333
SO54583,BK-T79U-50,24734,2013-03-17,2013-03-24,2013-03-29,2384,1,2384,2024-12-30 14:06:36.9733333
SO54583,WB-H098,24734,2013-03-17,2013-03-24,2013-03-29,5,1,5,2024-12-30 14:06:36.9733333
SO54583,BC-R205,24734,2013-03-17,2013-03-24,2013-03-29,9,1,9,2024-12-30 14:06:36.9733333
